Sno,Weight
125,0.0010284644
126,-0.042303912
127,-0.032792278
128,-0.04273676
129,0.014525829
130,-0.030541407
131,-0.07548359
132,-0.010045268
133,-0.060972143
134,0.006982162
135,0.018026374
136,-0.004087876
137,0.0061874064
138,0.017638115
139,0.0065250234
140,0.004454948
141,-0.014097461
142,0.03496636
143,0.0023263018
144,0.0023291504
145,0.001633091
146,0.0066645425
147,-0.0008207002
148,-0.009934872
149,0.009347379
150,-0.0447188
151,0.013388111
152,-0.041340064
153,-0.0005677615
154,0.0029304696
155,-0.039357338
156,-0.017155198
157,-0.022837188
158,-0.011927522
159,-0.06663152
160,-0.009859791
161,-0.027602894
162,-0.0122092
163,-0.00849357
164,0.017111376
165,-0.011963769
166,-0.005271153
167,0.01022739
168,-0.07857017
169,-0.004191781
170,-0.03937141
171,-0.013729425
172,0.0067212144
173,-0.0029561468
174,-0.022659719
175,-0.016280845
176,0.0033405267
177,-0.03628717
178,0.0071009994
179,-0.10772572
180,-0.07592766
181,0.015960978
182,0.00513653
183,-0.010353451
184,-0.0014451309
185,-0.03811642
186,-0.00029565633
187,0.0025084405
188,-0.03316231
189,-0.051130302
190,-0.00010540482
191,0.011669319
192,-0.008439055
193,0.017448
194,-0.011686723
195,0.0015265443
196,0.021764118
197,-0.0052417405
198,-0.010916839
199,-0.0012768767
200,0.015060616
201,-0.008048381
202,-0.11601209
203,-0.014964049
204,-0.016984692
205,0.03094766
206,-0.0028356656
207,-0.07217318
208,0.0037066464
209,-0.016079513
210,0.008208231
211,-0.03865787
212,-0.023403773
213,0.019099362
214,-0.0008746528
215,-0.08352912
216,-0.04857777
217,-0.009650128
218,0.017072706
219,-0.005435202
220,-0.0039067296
221,-0.006429714
222,0.0055685197
223,-0.012169218
224,0.012925344
225,-0.006655385
226,-0.008110505
227,0.0069186864
228,0.011188794
229,-0.03621999
230,-0.014703556
231,-0.0080422135
232,-0.044723425
233,-0.011235801
234,0.03139676
235,-0.034788
236,-0.020213086
237,-0.007470623
238,-0.006186837
239,-0.0067475587
